# ----------------------------------------
# 1 Master View
# Localização
# 20200203-20200209
# ----------------------------------------

País,Usuários,Novos usuários,Sessões,Taxa de rejeição,Páginas / sessão,Duração média da sessão,Transações,Receita,Taxa de conversão do comércio eletrônico
Kuwait,8,7,8,"87,50%","1,00",00:00:01,0,"US$ 0,00","0,00%"
Uruguay,7,7,10,"60,00%","2,00",00:01:12,0,"US$ 0,00","0,00%"
Kosovo,7,7,7,"57,14%","1,86",00:00:15,0,"US$ 0,00","0,00%"
Azerbaijan,6,5,6,"66,67%","5,33",00:01:57,0,"US$ 0,00","0,00%"
Estonia,6,6,7,"71,43%","1,57",00:01:04,0,"US$ 0,00","0,00%"
Georgia,6,6,7,"42,86%","4,29",00:02:30,0,"US$ 0,00","0,00%"
Bulgaria,5,5,5,"80,00%","1,20",00:00:01,0,"US$ 0,00","0,00%"
Jordan,5,4,5,"60,00%","2,40",00:05:09,0,"US$ 0,00","0,00%"
Cambodia,5,5,5,"80,00%","19,40",00:06:38,0,"US$ 0,00","0,00%"
Kazakhstan,5,4,5,"80,00%","1,40",00:00:43,0,"US$ 0,00","0,00%"
Lebanon,5,4,5,"40,00%","5,80",00:01:27,0,"US$ 0,00","0,00%"
Puerto Rico,5,4,10,"20,00%","6,40",00:02:43,0,"US$ 0,00","0,00%"
El Salvador,5,5,5,"40,00%","2,40",00:01:31,0,"US$ 0,00","0,00%"
Tajikistan,5,5,8,"87,50%","1,38",00:00:18,0,"US$ 0,00","0,00%"
Tunisia,5,4,5,"80,00%","2,00",00:00:45,0,"US$ 0,00","0,00%"
Bahrain,4,4,4,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Cyprus,4,4,4,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Ghana,4,2,6,"33,33%","3,83",00:02:31,0,"US$ 0,00","0,00%"
Honduras,4,4,6,"16,67%","4,17",00:03:01,0,"US$ 0,00","0,00%"
Myanmar (Burma),4,4,4,"50,00%","2,25",00:01:14,0,"US$ 0,00","0,00%"
Malta,4,4,5,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Mauritius,4,4,4,"0,00%","8,75",00:03:26,0,"US$ 0,00","0,00%"
Qatar,4,4,4,"75,00%","2,00",00:00:24,0,"US$ 0,00","0,00%"
Tanzania,4,3,4,"50,00%","4,00",00:00:41,0,"US$ 0,00","0,00%"
Armenia,3,2,3,"33,33%","3,67",00:00:37,0,"US$ 0,00","0,00%"
Côte d’Ivoire,3,3,3,"66,67%","2,33",00:09:35,0,"US$ 0,00","0,00%"
Dominican Republic,3,3,4,"75,00%","1,50",00:00:09,0,"US$ 0,00","0,00%"
Kenya,3,3,4,"50,00%","1,75",00:01:52,0,"US$ 0,00","0,00%"
Latvia,3,3,3,"33,33%","2,67",00:01:28,0,"US$ 0,00","0,00%"
Moldova,3,3,3,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Panama,3,3,3,"33,33%","4,00",00:00:50,0,"US$ 0,00","0,00%"
Slovenia,3,3,4,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Brunei,2,2,4,"75,00%","1,25",00:00:10,0,"US$ 0,00","0,00%"
Cameroon,2,2,2,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Guam,2,2,2,"0,00%","6,50",00:01:31,0,"US$ 0,00","0,00%"
Laos,2,2,2,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
North Macedonia,2,2,2,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Maldives,2,2,2,"50,00%","2,50",00:00:38,0,"US$ 0,00","0,00%"
Mozambique,2,2,2,"50,00%","1,50",00:00:40,0,"US$ 0,00","0,00%"
Nicaragua,2,2,2,"0,00%","6,00",00:04:10,0,"US$ 0,00","0,00%"
Oman,2,2,2,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Paraguay,2,2,2,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Trinidad & Tobago,2,1,2,"50,00%","2,00",00:00:53,0,"US$ 0,00","0,00%"
Afghanistan,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Albania,1,1,1,"0,00%","39,00",00:02:54,0,"US$ 0,00","0,00%"
Angola,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Barbados,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Burkina Faso,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Botswana,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Western Sahara,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Ethiopia,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Fiji,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Faroe Islands,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Guadeloupe,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Iran,1,0,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Iceland,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Jamaica,1,1,1,"0,00%","2,00",00:06:55,0,"US$ 0,00","0,00%"
Cayman Islands,1,1,1,"0,00%","3,00",00:02:15,0,"US$ 0,00","0,00%"
Montenegro,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Mongolia,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Macao,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Mauritania,1,1,1,"0,00%","4,00",00:00:03,0,"US$ 0,00","0,00%"
Nepal,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Palestine,1,1,1,"0,00%","39,00",00:00:39,0,"US$ 0,00","0,00%"
Senegal,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Sint Maarten,1,1,1,"0,00%","2,00",00:00:21,0,"US$ 0,00","0,00%"
Turkmenistan,1,1,1,"100,00%","1,00",00:00:00,0,"US$ 0,00","0,00%"
Uganda,1,1,1,"0,00%","3,00",00:00:49,0,"US$ 0,00","0,00%"
Uzbekistan,1,1,1,"0,00%","20,00",00:06:06,0,"US$ 0,00","0,00%"
Venezuela,1,1,1,"0,00%","3,00",00:00:23,0,"US$ 0,00","0,00%"
Zambia,1,1,1,"0,00%","5,00",00:02:06,0,"US$ 0,00","0,00%"
,12.756,11.220,15.315,"45,39%","4,40",00:02:53,22,"US$ 1.082,30","0,14%"
